time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010448250000	20.3013	13.1213	4.89633	1.67124	0.558626	radar	2.25073	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448300000	20.2645	13.3394	4.87555	1.70253	0.564446	lidar	1.72934	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448350000	20.2225	13.5776	4.87311	1.7296	0.55791	radar	1.4134	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448400000	20.2065	13.8232	4.87684	1.74773	0.547316	lidar	0.967791	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
1477010448450000	20.1467	14.0557	4.87245	1.78562	0.566853	radar	1.00204	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448500000	20.0961	14.2981	4.87647	1.81201	0.564379	lidar	0.110741	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
1477010448550000	20.0221	14.529	4.87372	1.84386	0.566583	radar	1.49858	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448600000	19.92	14.7676	4.88212	1.88388	0.577759	lidar	1.06561	19.781	14.773	19.934	14.6897	-1.30687	4.62805
1477010448650000	19.8501	14.9914	4.87364	1.90187	0.554446	radar	3.61159	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448700000	19.8158	15.2141	4.8602	1.91307	0.538921	lidar	2.31235	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448750000	19.6807	15.4257	4.86108	1.98928	0.636689	radar	7.8053	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
1477010448800000	19.6421	15.6291	4.83367	2.00067	0.618647	lidar	4.33773	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448850000	19.5423	15.8419	4.8279	2.0279	0.611037	radar	1.58014	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448900000	19.4407	16.0499	4.82038	2.05648	0.609859	lidar	0.147657	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
