time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010449569641	7.75109	-13.2912	-2.6837	0.00840183	-1.33435	lidar	0.844968	7.76538	-13.1647	7.75	-13.15	-2.72986	0
1477010449619676	7.64814	-13.3313	-2.6517	0.0100845	-1.23416	radar	8.74243	7.66146	-13.3079	7.6	-13.2	-2.9979	-0.999304
1477010449669711	7.50631	-13.3161	-2.65342	-0.0612225	-1.24203	lidar	0.396205	7.44786	-13.2517	7.45	-13.25	-2.9979	-0.999304
1477010449724687	7.35911	-13.298	-2.65028	-0.128883	-1.23716	radar	0.799279	7.21108	-13.0985	7.3	-13.25	-2.72846	0
1477010449779664	7.2085	-13.2686	-2.65399	-0.201651	-1.24017	lidar	0.168224	7.16011	-13.2382	7.15	-13.25	-2.72844	0
1477010449829700	7.06558	-13.2008	-2.67311	-0.305516	-1.2964	radar	3.62918	6.88472	-12.9588	7	-13.2	-2.99784	0.999284
1477010449879736	6.92818	-13.1564	-2.68226	-0.371033	-1.29388	lidar	0.321841	6.84891	-13.1493	6.85	-13.15	-2.99784	0.999284
1477010449934724	6.7944	-13.1086	-2.67821	-0.431997	-1.28072	radar	0.283083	6.77424	-13.2337	6.7	-13.1	-2.72787	0.909275
1477010449989712	6.6488	-13.0495	-2.69045	-0.496848	-1.27151	lidar	0.448796	6.55759	-13.0679	6.55	-13.05	-2.72787	0.909284
1477010450044722	6.52732	-13.0223	-2.64656	-0.509043	-1.18823	radar	10.7106	6.40137	-13.0799	6.4	-13.05	-2.72678	0
1477010450099732	6.37953	-12.9723	-2.66413	-0.55425	-1.16374	lidar	1.12083	6.26174	-13.0534	6.25	-13.05	-2.72678	0
1477010450154684	6.25558	-12.9165	-2.64582	-0.589965	-1.12412	radar	2.30391	6.10143	-13.0076	6.1	-13	-2.72966	0.909888
